site_id,lat,lon,n_summers,n_days,n_ep,med_dur,max_dur,ep_days,ep_per_summer,frac_days
10129900,40.73522634,-111.4760313,15,2705,28.0,1.0,5.0,55.0,1.8666666666666667,2.033271719038817
10133650,40.7238375,-111.5196438,15,2685,0.0,,,0.0,0.0,0.0
10133800,40.75966979,-111.5640912,15,2734,0.0,,,0.0,0.0,0.0
10133980,40.8695861,-111.5866222,15,2753,0.0,,,0.0,0.0,0.0
11044000,33.4739175,-117.1422536,15,2663,2.0,1.5,2.0,3.0,0.13333333333333333,0.11265490048817124
11126000,34.58914745,-119.9887195,13,2351,0.0,,,0.0,0.0,0.0
11273400,37.34718815,-120.9761399,13,2250,1.0,5.0,5.0,5.0,0.07692307692307693,0.2222222222222222
11462500,39.0265265,-123.1305253,15,2736,0.0,,,0.0,0.0,0.0
11463000,38.87930758,-123.0535767,14,2194,0.0,,,0.0,0.0,0.0
11463682,38.65820245,-122.8294009,14,2482,0.0,,,0.0,0.0,0.0
11463980,38.63292489,-122.8555123,15,2752,0.0,,,0.0,0.0,0.0
11465240,38.65320165,-122.927181,13,2047,0.0,,,0.0,0.0,0.0
11467000,38.50848204,-122.9277345,15,2738,0.0,,,0.0,0.0,0.0
11507501,42.2193114,-121.7902816,15,2726,0.0,,,0.0,0.0,0.0
11509370,42.12788298,-121.9288769,15,2750,99.0,3.0,50.0,642.0,6.6,23.345454545454544
12098700,47.169824,-122.0026114,13,2124,0.0,,,0.0,0.0,0.0
12100490,47.27479497,-122.207876,14,2346,0.0,,,0.0,0.0,0.0
12101100,47.2381564,-122.2281746,14,2491,12.0,1.0,11.0,25.0,0.8571428571428571,1.0036130068245686
12101102,47.23555556,-122.236111,9,1579,0.0,,,0.0,0.0,0.0
13013650,43.65405556,-110.7154722,14,2241,0.0,,,0.0,0.0,0.0
1388000,40.99194444,-74.28,14,2505,0.0,,,0.0,0.0,0.0
1389005,40.89638889,-74.26916667,15,2743,0.0,,,0.0,0.0,0.0
1400500,40.55555556,-74.58277778,15,2686,0.0,,,0.0,0.0,0.0
14158100,44.09166667,-123.116111,10,1784,0.0,,,0.0,0.0,0.0
14162500,44.1248487,-122.47062,10,1827,0.0,,,0.0,0.0,0.0
14181500,44.75377778,-122.2974444,12,2081,0.0,,,0.0,0.0,0.0
14202980,45.46927968,-123.200109,15,2756,0.0,,,0.0,0.0,0.0
14206694,45.40150659,-122.8951003,15,2702,0.0,,,0.0,0.0,0.0
14206950,45.403452,-122.7548185,15,2738,3.0,2.0,5.0,8.0,0.2,0.2921840759678597
14207200,45.35650877,-122.6850937,15,2723,0.0,,,0.0,0.0,0.0
14209710,45.16706506,-122.1561923,15,2750,0.0,,,0.0,0.0,0.0
14210000,45.29984346,-122.3539746,14,2548,0.0,,,0.0,0.0,0.0
14211010,45.3792874,-122.5773134,15,2742,0.0,,,0.0,0.0,0.0
14211720,45.5175,-122.6691667,15,2719,2.0,1.0,1.0,2.0,0.13333333333333333,0.07355645457888929
14309000,42.82484286,-123.1789492,15,2697,0.0,,,0.0,0.0,0.0
14316460,43.3059544,-122.5128232,15,2751,0.0,,,0.0,0.0,0.0
14317450,43.324563,-122.9997836,15,2743,0.0,,,0.0,0.0,0.0
1433500,41.4612222,-74.75877778,11,1962,0.0,,,0.0,0.0,0.0
1454700,40.6692656,-75.23628808,13,2340,0.0,,,0.0,0.0,0.0
1458500,40.52611111,-75.065,10,1772,0.0,,,0.0,0.0,0.0
1463500,40.22166667,-74.77805556,15,2648,0.0,,,0.0,0.0,0.0
