terc,spell,n,exit,lo,hi
calm,1,1327,0.3707611152976639,0.34477295863166396,0.3967492719636639
calm,2,833,0.2424969987995198,0.2133912394919196,0.27160275810712
calm,3,573,0.16753926701570682,0.13696057220862243,0.1981179618227912
calm,4,431,0.12761020881670534,0.0961098548949382,0.1591105627384725
calm,5,347,0.14121037463976946,0.10456931445312635,0.17785143482641258
calm,6,280,0.06785714285714285,0.03839827322506091,0.09731601248922479
calm,7,245,0.11020408163265306,0.0709922550118646,0.14941590825344153
calm,8,3264,0.043198529411764705,0.03622381556069814,0.05017324326283127
median,1,1202,0.3452579034941764,0.3183790472608564,0.3721367597274964
median,2,721,0.27045769764216365,0.23803393943929088,0.30288145584503645
median,3,522,0.19923371647509577,0.1649683700132173,0.23349906293697426
median,4,421,0.16864608076009502,0.1328779599165691,0.20441420160362095
median,5,353,0.1643059490084986,0.12564976160548086,0.20296213641151634
median,6,291,0.07216494845360824,0.042434044266773295,0.10189585264044318
median,7,263,0.11787072243346007,0.07889920753555865,0.1568422373313615
median,8,3527,0.04252906152537567,0.03586929442443976,0.04918882862631159
windy,1,1193,0.4124056999161777,0.3844714530914488,0.4403399467409066
windy,2,731,0.3283173734610123,0.29427448727554245,0.36236025964648216
windy,3,532,0.22556390977443608,0.19004759847150307,0.26108022107736906
windy,4,430,0.2116279069767442,0.17302020667948065,0.25023560727400773
windy,5,353,0.1813031161473088,0.1411117358342448,0.22149449646037278
windy,6,298,0.17785234899328858,0.1344360647150799,0.22126863327149726
windy,7,255,0.15294117647058825,0.10876328542315664,0.19711906751801986
windy,8,3508,0.07981755986316989,0.07084921142721577,0.08878590829912401
