site_id,lat,lon,n_days,n_years
10129900,40.73522634,-111.4760313,2705,15
10133650,40.7238375,-111.5196438,2685,15
10133800,40.75966979,-111.5640912,2734,15
10133980,40.8695861,-111.5866222,2753,15
11044000,33.4739175,-117.1422536,2663,15
11126000,34.58914745,-119.9887195,2351,13
11273400,37.34718815,-120.9761399,2250,13
11462500,39.0265265,-123.1305253,2736,15
11463000,38.87930758,-123.0535767,2194,14
11463682,38.65820245,-122.8294009,2482,14
11463980,38.63292489,-122.8555123,2752,15
11465240,38.65320165,-122.927181,2047,13
11467000,38.50848204,-122.9277345,2738,15
11507501,42.2193114,-121.7902816,2726,15
11509370,42.12788298,-121.9288769,2750,15
12098700,47.169824,-122.0026114,2124,13
12100490,47.27479497,-122.207876,2346,14
12101100,47.2381564,-122.2281746,2491,14
12101102,47.23555556,-122.236111,1579,9
13013650,43.65405556,-110.7154722,2241,14
1388000,40.99194444,-74.28,2505,14
1389005,40.89638889,-74.26916667,2743,15
1400500,40.55555556,-74.58277778,2686,15
14158100,44.09166667,-123.116111,1784,10
14162500,44.1248487,-122.47062,1827,10
14181500,44.75377778,-122.2974444,2081,12
14202980,45.46927968,-123.200109,2756,15
14206694,45.40150659,-122.8951003,2702,15
14206950,45.403452,-122.7548185,2738,15
14207200,45.35650877,-122.6850937,2723,15
14209710,45.16706506,-122.1561923,2750,15
14210000,45.29984346,-122.3539746,2548,14
14211010,45.3792874,-122.5773134,2742,15
14211720,45.5175,-122.6691667,2719,15
14309000,42.82484286,-123.1789492,2697,15
14316460,43.3059544,-122.5128232,2751,15
14317450,43.324563,-122.9997836,2743,15
1433500,41.4612222,-74.75877778,1962,11
1454700,40.6692656,-75.23628808,2340,13
1458500,40.52611111,-75.065,1772,10
1463500,40.22166667,-74.77805556,2648,15
1467200,39.946402,-75.1393603,2543,14
1473500,40.11555556,-75.3561111,2388,13
1477050,39.83677934,-75.36630199,2682,15
1480065,39.71063889,-75.6087222,2705,15
1480617,39.9617734,-75.8013341,2664,15
1480870,39.9687191,-75.6732715,2650,15
1481000,39.8698328,-75.5932623,2742,15
1481500,39.7695,-75.576694,2719,15
1484080,39.0105,-75.4583056,2528,14
1484272,38.791,-75.25077778,1446,8
1484525,38.594556,-75.291028,2374,13
1493112,39.257056,-75.940139,1383,8
1540500,40.95814218,-76.6191222,1884,11
1542500,41.11755906,-78.108896,2289,13
1544500,41.47583829,-77.82580078,2563,14
1549700,41.27361657,-77.3241186,2312,13
1608500,39.44703879,-78.6541817,2730,15
1611500,39.5823158,-78.3097312,2487,14
1632900,38.69345016,-78.6427935,2658,15
1645704,38.88469518,-77.3324293,2574,15
1645762,38.90888916,-77.3382627,2242,13
1646000,38.97594346,-77.24581439,2134,12
1646305,38.95977716,-77.1756743,2216,13
1646500,38.94977778,-77.12763889,1632,10
1648010,38.960167,-77.042056,2284,13
1649190,39.03336111,-76.96402778,2603,15
1649500,38.96025,-76.9259722,2667,15
1650800,38.9862222,-77.0048611,1979,11
1654000,38.81289066,-77.2283158,1765,10
1654500,38.81358508,-77.2364549,1727,10
1656903,38.8823899,-77.4319047,2321,13
1668000,38.30846178,-77.52915268,1432,8
1673000,37.76764189,-77.3322018,2300,13
2035000,37.67097957,-78.0858328,2325,13
205551460,37.27794444,-79.9375556,1363,8
2079500,36.60319824,-78.2977743,2362,14
208062765,36.3311111,-77.58027778,2682,15
2081022,36.0136111,-77.21527778,2145,12
2081094,35.81305556,-76.89277778,2726,15
208114150,35.915,-76.72277778,2727,15
2101726,35.73514055,-79.4230754,2402,14
2110400,33.95346259,-78.71974629,2657,15
2110500,33.9126719,-78.7150175,2667,15
2110550,33.8508333,-78.8972222,2052,12
2110701,33.86100349,-79.0411471,2379,14
2110704,33.8326111,-79.0437222,2499,14
2110777,33.8515612,-78.6558483,2658,15
2110802,33.64905837,-79.09420639,2702,15
2110815,33.44461245,-79.1739341,2704,15
212378405,35.20066667,-80.0618056,2539,14
212880025,34.9834833,-79.8775806,2361,13
2129375,34.8662583,-79.878925,1395,8
2135000,34.05675,-79.2477222,1767,10
2138520,35.74125,-81.8352528,1463,8
2141500,35.77262778,-81.4306556,1451,8
214196125,35.8218972,-81.1903833,1426,8
214244102,35.75719444,-81.08915,1644,9
214264790,35.4277333,-80.9573417,1464,8
214267602,35.33400556,-80.9864083,1762,10
2147310,34.598056,-80.890556,1560,9
21474095,34.55801667,-80.8935,1630,9
2147505,34.541111,-80.875278,1393,8
2147801,34.33207981,-80.69842699,1398,8
2156500,34.5951393,-81.4212089,2706,15
2160105,34.53539879,-81.54816337,2691,15
2160700,34.5093039,-81.5981594,2728,15
2160991,34.26070285,-81.3303747,2666,15
2162035,34.0483333,-81.0733333,2359,13
2167600,34.09930647,-81.5684382,2647,15
